Identifiant;Identifiant;Nom;Nom complet;Thème;Catégorie;Type;Adresse;Commune;Code postal;Téléphone;Site Web;Accès PMR;Informations accès mobilité réduite;URL;Géométrie
1885;2728;Médiathèque Le jardin de Lecture;Médiathèque Le jardin de Lecture;Culture;Médiathèque;Médiathèque;39 Rue des Frères Rousseau;Saint-Aignan de Grand Lieu;44860;02 40 26 44 55;http://www.saint-aignan-grandlieu.fr/mes-loisirs/culture/mediatheque-le-jardin-de-lecture-714.html;Oui;;https://metropole.nantes.fr/infonantes/equipement/E2728;"{""coordinates"": [-1.6304933518421414, 47.123771801421476], ""type"": ""Point""}"
2052;2385;Château de La Tour;Château de La Tour;Culture;Musée, Château;Château;Allée de la Tour;Orvault;44700;;https://www.orvault.fr/le-chateau-de-la-tour;Non;;https://metropole.nantes.fr/infonantes/equipement/E2385;"{""coordinates"": [-1.6259294823428956, 47.288075252071145], ""type"": ""Point""}"
2155;1118;M. des Hommes et des Tech.;Maison des Hommes et des Techniques;Culture;Salle d'exposition;;2B Boulevard Léon Bureau;Nantes;44200;02 40 08 20 22;http://www.maison-hommes-techniques.fr;Non;;https://metropole.nantes.fr/infonantes/equipement/E1118;"{""coordinates"": [-1.565759373930482, 47.20575792407977], ""type"": ""Point""}"
2416;2603;Château de la Desnerie;Château de la Desnerie;Culture;Musée, Château;Château;VC 5;La Chapelle-sur-Erdre;44240;;;Non;;;"{""coordinates"": [-1.535319114525957, 47.27264750695192], ""type"": ""Point""}"
2939;3383;E. de Musique Point d'orgue;Ecole de Musique Point d'orgue;Culture;Ecole Culturelle;;Square de Theley;Basse-Goulaine;44115;02 40 03 51 58;;Non;;;"{""coordinates"": [-1.46393073097686, 47.21839421610118], ""type"": ""Point""}"
3072;2457;Site Gallo Romain St Lupien;Site Gallo Romain Saint Lupien;Culture;Monument;;Chemin Saint Lupien;Rezé;44400;02 40 84 43 96;;Non;;https://metropole.nantes.fr/infonantes/equipement/E2457;"{""coordinates"": [-1.564951868323343, 47.19160568529748], ""type"": ""Point""}"
3107;3616;Zénith;Zénith de Nantes Métropole;Culture;Salle de spectacle;;Boulevard du Zénith;Saint-Herblain;44800;;https://www.zenith-nantesmetropole.com;Oui;;https://metropole.nantes.fr/infonantes/equipement/E3616;"{""coordinates"": [-1.6279917343512431, 47.228696986027444], ""type"": ""Point""}"
3331;2376;Château de La Sénaigerie;Château de La Sénaigerie;Culture;Musée, Château;Château;Rue de la Sénaigerie;Bouaye;44830;02 40 65 53 55;;Non;;https://metropole.nantes.fr/infonantes/equipement/E2376;"{""coordinates"": [-1.6795971395003466, 47.13578463661492], ""type"": ""Point""}"
3503;2707;Médiathèque R. G. Cadou;Médiathèque René Guy Cadou;Culture;Médiathèque;Bibliothèque;Place de la Chantrie;Basse-Goulaine;44115;02 40 06 00 22;http://mediatheque.basse-goulaine.fr/;Oui;;https://metropole.nantes.fr/infonantes/equipement/E2707;"{""coordinates"": [-1.4658653216423727, 47.21628246890896], ""type"": ""Point""}"
3546;5362;Centre Culturel Franco-Allemand;Centre Culturel Franco-Allemand (CCFA);Culture;Salle de spectacle;;92 Boulevard de la Prairie au Duc;Nantes;44200;02 40 35 39 43;https://www.ccfa-nantes.org/;Non;;;"{""coordinates"": [-1.5686955633482187, 47.20398908301475], ""type"": ""Point""}"
3572;5441;Magasin à huile;Magasin à huile;Culture;Salle de spectacle;;Quai Jean-Pierre Fougerat;Couëron;44220;02 40 38 51 23;https://www.ville-coueron.fr/culture/magasin-a-huile/;Non;;https://metropole.nantes.fr/infonantes/equipement/E5441;"{""coordinates"": [-1.7202530696878293, 47.209070578389706], ""type"": ""Point""}"
3634;2118;La Ludothèque;La Ludothèque;Culture;Médiathèque;Ludothèque;11 Rue de Dijon;Saint-Herblain;44800;02 28 25 22 93;http://www.la-bibliotheque.com;Non;;https://metropole.nantes.fr/infonantes/equipement/E2118;"{""coordinates"": [-1.6153624375218774, 47.20612357921712], ""type"": ""Point""}"
3636;4098;Trempo;La Fabrique Ile de Nantes - Trempo;Culture;Salle de spectacle;;6 Boulevard Léon Bureau;Nantes;44200;02 40 46 66 33;http://www.trempo.com;Non;;https://metropole.nantes.fr/infonantes/equipement/E4098;"{""coordinates"": [-1.562920201562611, 47.20461215611946], ""type"": ""Point""}"
65;3987;Stereolux;La Fabrique Ile de Nantes - Stereolux;Culture;Salle de spectacle;;4 Boulevard Léon Bureau;Nantes;44200;02 40 43 20 43;https://stereolux.org;Non;;https://metropole.nantes.fr/infonantes/equipement/E3987;"{""coordinates"": [-1.5633976677359573, 47.20508498273803], ""type"": ""Point""}"
173;2722;Bibliothèque;Bibliothèque Indre;Culture;Médiathèque;Bibliothèque;2 Rue du Stade;Indre;44610;02 40 85 46 16;https://www.bibliotheque.indre44.fr/;Oui;Ascenseur;https://metropole.nantes.fr/infonantes/equipement/E2722;"{""coordinates"": [-1.6716568636438933, 47.200430487070314], ""type"": ""Point""}"
222;5543;Atelier du Moulin;Atelier du Moulin;Culture;Salle d'exposition;;18 Rue de l'Industrie;Vertou;44120;;;Non;;https://metropole.nantes.fr/infonantes/equipement/E5543;"{""coordinates"": [-1.4823274669626396, 47.165963275654576], ""type"": ""Point""}"
234;26;Médiathèque Luce Courville;Médiathèque Nord Luce Courville;Culture;Médiathèque;Médiathèque;1 Rue Eugène Thomas;Nantes;44300;02 40 41 53 50;http://bm.nantes.fr;Oui;;https://metropole.nantes.fr/infonantes/equipement/E26;"{""coordinates"": [-1.5742109842670924, 47.2619113505832], ""type"": ""Point""}"
288;4093;Le Rayon Vert;Galerie le Rayon Vert;Culture;Salle d'exposition;;1 Rue Sainte Marthe;Nantes;44100;02 40 71 88 27;http://www.rayonvert.com;Non;;https://metropole.nantes.fr/infonantes/equipement/E4093;"{""coordinates"": [-1.5797961796240367, 47.20267190801059], ""type"": ""Point""}"
705;2125;E. de Musique;Maison des Arts - Ecole de Musique;Culture;Ecole Culturelle;;26 Rue de Saint Nazaire;Saint-Herblain;44800;02 28 25 25 80;http://maisondesarts.saint-herblain.fr;Non;;https://metropole.nantes.fr/infonantes/equipement/E2125;"{""coordinates"": [-1.6147337695394448, 47.212108681494506], ""type"": ""Point""}"
778;3020;Théâtre du Sphinx;Théâtre du Sphinx;Culture;Salle de spectacle;;9 Rue Monteil;Nantes;44000;06 84 49 86 92;http://www.theatredusphinx.com;Non;;https://metropole.nantes.fr/infonantes/equipement/E3020;"{""coordinates"": [-1.5479168962113241, 47.21360549043128], ""type"": ""Point""}"
819;147;Pigeonnier;Pigeonnier Nantes;Culture;Monument;;4 Place Vincent Auriol;Nantes;44100;;;Non;;https://metropole.nantes.fr/infonantes/equipement/E147;"{""coordinates"": [-1.592764947282158, 47.221942225354574], ""type"": ""Point""}"
877;1810;Bibliothèque R. G. Cadou;Bibliothèque René Guy Cadou;Culture;Médiathèque;Bibliothèque;2 Rue du Bois de Lagland;Saint-Herblain;44800;02 40 63 19 46;https://www.saint-herblain.fr/Services-et-demarches/Lieux-utiles/Lieux-culturels/Bibliotheque-associative-Rene-Guy-Cadou;Non;;https://metropole.nantes.fr/infonantes/equipement/E1810;"{""coordinates"": [-1.6318343706968472, 47.23411041427046], ""type"": ""Point""}"
1105;5044;Olympe de Gouges;Salle Olympe de Gouges;Culture;Salle d'exposition;;92 Rue Violin;La Montagne;44620;;;Non;;https://metropole.nantes.fr/infonantes/equipement/E5044;"{""coordinates"": [-1.6849218598261984, 47.1915510724394], ""type"": ""Point""}"
1106;2525;M. de la Musique;Maison de la Musique La Montagne;Culture;Ecole Culturelle;;92 Rue Violin;La Montagne;44620;02 40 65 32 40;http://www.ville-lamontagne.fr/module-pagesetter-viewpub-tid-2-pid-25.html;Non;;;"{""coordinates"": [-1.685001648324965, 47.19133615832644], ""type"": ""Point""}"
1264;1857;ONYX;ONYX;Culture;Salle de spectacle;;1 Place Océane;Saint-Herblain;44800;02 28 25 25 00;http://theatreonyx.fr/;Oui;;https://metropole.nantes.fr/infonantes/equipement/E1857;"{""coordinates"": [-1.6292941885309813, 47.22379983837154], ""type"": ""Point""}"
1304;2458;Le Ht Moulin;Le Haut Moulin Saint léger les Vignes;Culture;Monument;;16 Rue de Nantes;Saint-Léger-les-Vignes;44710;02 40 31 50 32;;Non;;;"{""coordinates"": [-1.7270114501082208, 47.13607372872503], ""type"": ""Point""}"
1316;17;Médiathèque J. Demy;Médiathèque Espace Jacques Demy;Culture;Médiathèque;Médiathèque;24 Quai de la Fosse;Nantes;44000;02 40 41 95 95;http://bm.nantes.fr;Oui;;https://metropole.nantes.fr/infonantes/equipement/E17;"{""coordinates"": [-1.5621552158613186, 47.21115000826376], ""type"": ""Point""}"
1337;123;Manoir La Hautière;Manoir de La Hautière;Culture;Musée, Château;Château;14 Rue Claude Guillon Verne;Nantes;44100;02 40 69 30 55;;Non;;https://metropole.nantes.fr/infonantes/equipement/E123;"{""coordinates"": [-1.582795409677125, 47.202965439179025], ""type"": ""Point""}"
1432;1991;Médiathèque;Médiathèque Saint Sébastien;Culture;Médiathèque;Médiathèque;10 Rue Jean Macé;Saint-Sébastien-sur-Loire;44230;02 40 80 86 20;http://mediatheque.saintsebastien.fr/;Oui;Ascenseur;https://metropole.nantes.fr/infonantes/equipement/E1991;"{""coordinates"": [-1.5057904889756397, 47.20562288702003], ""type"": ""Point""}"
1510;4007;Médiathèque du Conservatoire;Médiathèque du Conservatoire;Culture;Médiathèque;Médiathèque;4 Rue Gaëtan Rondeau;Nantes;44200;02 51 25 00 36;http://bm.nantes.fr;Non;;https://metropole.nantes.fr/infonantes/equipement/E4007;"{""coordinates"": [-1.532665392266115, 47.208038577258016], ""type"": ""Point""}"
1595;5115;Centre d'initiation au théâtre;Centre d'initiation au théâtre;Culture;Salle de spectacle;;10 Rue de l'Allée Verte;Saint-Sébastien-sur-Loire;44230;;;Non;;https://metropole.nantes.fr/infonantes/equipement/E5115;"{""coordinates"": [-1.4893153068827187, 47.195844928662105], ""type"": ""Point""}"
1658;159;Salle d' Expo. Manu;Salle d'Expositions Manu;Culture;Salle d'exposition;;11 Boulevard de Stalingrad;Nantes;44000;;;Non;;https://metropole.nantes.fr/infonantes/equipement/E159;"{""coordinates"": [-1.53606743023838, 47.219758604562685], ""type"": ""Point""}"
1671;3657;Médiathèque Floresca Guépin;Médiathèque Est Floresca Guépin;Culture;Médiathèque;Médiathèque;15 Rue de la Haluchère;Nantes;44300;02 40 93 41 60;http://bm.nantes.fr;Oui;;https://metropole.nantes.fr/infonantes/equipement/E3657;"{""coordinates"": [-1.5128014585289473, 47.240830964327536], ""type"": ""Point""}"
1704;4195;Cinéma Pôle Sud;Cinéma Pôle Sud;Culture;Cinéma;;Rue Dumont D'Urville;Basse-Goulaine;44115;02 28 00 98 98;http://www.cinepolesud.fr/;Oui;;https://metropole.nantes.fr/infonantes/equipement/E4195;"{""coordinates"": [-1.4702441542994018, 47.18851658119786], ""type"": ""Point""}"
2151;5039;Centre d'Histoire du Travail;Centre d'Histoire du Travail;Culture;Médiathèque;Bibliothèque;2B Boulevard Léon Bureau;Nantes;44200;02 40 08 22 04;https://cht-nantes.org/;Non;;https://metropole.nantes.fr/infonantes/equipement/E5039;"{""coordinates"": [-1.5659421753590959, 47.20566382668198], ""type"": ""Point""}"
2296;3635;Cinéma Cinéville;Cinéma Cinéville;Culture;Cinéma;;Rue Marie Curie;Saint-Sébastien-sur-Loire;44230;02 51 79 78 10;https://cineville.fr;Oui;;https://metropole.nantes.fr/infonantes/equipement/E3635;"{""coordinates"": [-1.488290714779959, 47.18971272351135], ""type"": ""Point""}"
2322;2389;Le Gd Calvaire;Le Grand Calvaire Orvault;Culture;Monument;;Rue Hubert De la Brosse;Orvault;44700;02 51 78 33 33;http://www.orvault.fr;Non;;https://metropole.nantes.fr/infonantes/equipement/E2389;"{""coordinates"": [-1.6203477769777719, 47.271978346173036], ""type"": ""Point""}"
2409;4199;Le Pavillon;Le Pavillon du Bois de la Noë;Culture;Monument;;Rue de Nantes;Bouaye;44830;02 51 70 55 55;http://www.bouaye.fr;Non;;https://metropole.nantes.fr/infonantes/equipement/E4199;"{""coordinates"": [-1.6779249336805402, 47.14299661075324], ""type"": ""Point""}"
2566;4894;Jardin du presbytère;Jardin du presbytère;Culture;Monument;;Place de l'Eglise;Mauves-sur-Loire;44470;;;Non;;;"{""coordinates"": [-1.392923979786684, 47.2949767154415], ""type"": ""Point""}"
2588;2614;Château de La Gascherie;Château de La Gascherie;Culture;Musée, Château;Château;Rue de l'Erdre;La Chapelle-sur-Erdre;44240;;;Non;;;"{""coordinates"": [-1.5348965931216614, 47.29781138279817], ""type"": ""Point""}"
2591;2611;Château de La Poterie;Château de La Poterie;Culture;Musée, Château;Château;Rue de Cotalard;La Chapelle-sur-Erdre;44240;;;Non;;;"{""coordinates"": [-1.5300838937217103, 47.28339841543799], ""type"": ""Point""}"
2767;5079;Miroir d'eau;Le miroir d'eau;Culture;Monument;;Cours John Kennedy;Nantes;44000;;;Non;;https://metropole.nantes.fr/infonantes/equipement/E5079;"{""coordinates"": [-1.5489595207885467, 47.215057637773306], ""type"": ""Point""}"
2944;4220;Salle G. Feydeau;Salle Georges Feydeau;Culture;Ecole Culturelle;;Square de Theley;Basse-Goulaine;44115;;;Non;;;"{""coordinates"": [-1.4641489775693364, 47.218500320384344], ""type"": ""Point""}"
2945;4219;E.de Danse - Salle M. Béjart;Ecole de Danse - Salle Maurice Béjart;Culture;Ecole Culturelle;;Square de Theley;Basse-Goulaine;44115;;;Non;;;"{""coordinates"": [-1.463947521482593, 47.218610174694966], ""type"": ""Point""}"
61;2028;Salle Escall;Salle Polyvalente Escall;Culture;Salle de spectacle;;27 Rue des Berlaguts;Saint-Sébastien-sur-Loire;44230;02 40 80 85 88;http://www.saintsebastien.fr;Oui;;https://metropole.nantes.fr/infonantes/equipement/E2028;"{""coordinates"": [-1.5035216880078948, 47.2000377795628], ""type"": ""Point""}"
469;3019;TNT;TNT - Terrain Neutre Théâtre;Culture;Salle de spectacle;;11 Allée de la Maison Rouge;Nantes;44000;02 40 12 12 28;https://www.tntheatre.com;Oui;;https://metropole.nantes.fr/infonantes/equipement/E3019;"{""coordinates"": [-1.552138449381448, 47.21244375183982], ""type"": ""Point""}"
573;1954;E. de Musique;Ecole Municipale de Musique ORIGAMI - Orvault;Culture;Ecole Culturelle;;37 Avenue de la Ferrière;Orvault;44700;02 51 78 33 34;https://www.orvault.fr/culture-sport-tourisme/culture/musiques/origami-ecole-municipale-des-musiques-dorvault;Non;;;"{""coordinates"": [-1.5851476753081097, 47.24853676914673], ""type"": ""Point""}"
701;2122;Bibliothèque Adèle'H;Bibliothèque Adèle'H;Culture;Médiathèque;Bibliothèque;42 Rue de la Blanche;Saint-Herblain;44800;02 40 46 75 45;https://www.saint-herblain.fr/Services-et-demarches/Lieux-utiles/Lieux-culturels/Bibliotheque-associative-Adele-H;Non;;https://metropole.nantes.fr/infonantes/equipement/E2122;"{""coordinates"": [-1.6096233702583855, 47.219419378788935], ""type"": ""Point""}"
3003;5030;Ecole de Musique;Ecole de Musique Municipale;Culture;Ecole Culturelle;;Rue Ginsheim Gustavsburg;Bouguenais;44340;02 40 65 24 57;https://www.bouguenais.fr/fr/ecole-municipale-musique;Non;;https://metropole.nantes.fr/infonantes/equipement/E5030;"{""coordinates"": [-1.6068622034107871, 47.174045194247235], ""type"": ""Point""}"
3052;4920;Salle des macres;Salle des macres;Culture;Salle de spectacle;;Rue du Stade;Bouaye;44830;;;Non;;https://metropole.nantes.fr/infonantes/equipement/E4920;"{""coordinates"": [-1.6958577070047813, 47.15042588000406], ""type"": ""Point""}"
3346;4458;Château de La Couronnerie;Château de La Couronnerie;Culture;Musée, Château;Château;Allée de la Couronnerie;Carquefou;44470;;;Non;;;"{""coordinates"": [-1.5257955874540647, 47.31166331382438], ""type"": ""Point""}"
3395;2627;Ecluse;Ecluse de la Chaussée des Moines;Culture;Monument;;Quai de la Chaussée des Moines;Vertou;44120;02 40 34 93 64;;Non;;;"{""coordinates"": [-1.4808716463987077, 47.168151757736766], ""type"": ""Point""}"
3408;3610;Médiathèque R. Goscinny;Médiathèque René Goscinny;Culture;Médiathèque;Médiathèque;Esplanade Pierre Brasselet;Sainte-Luce-sur-Loire;44980;02 40 68 16 51;http://mediatheque.sainte-luce-loire.com;Oui;;https://metropole.nantes.fr/infonantes/equipement/E3610;"{""coordinates"": [-1.4824603359821267, 47.248043564469626], ""type"": ""Point""}"
3511;766;Théâtre de Poche Graslin;Théâtre de Poche Graslin - TPG;Culture;Salle de spectacle;;5 Rue Lekain;Nantes;44000;02 40 47 34 44;http://www.theatredepochegraslin.fr;Oui;;https://metropole.nantes.fr/infonantes/equipement/E766;"{""coordinates"": [-1.5629509966623214, 47.21449615900276], ""type"": ""Point""}"
3696;5843;Longère de la Bégraisière;Longère de la Bégraisière;Culture;Salle d'exposition;;Rue François Rabelais;Saint-Herblain;44800;;;Non;;;"{""coordinates"": [-1.6151346294467226, 47.231245979827115], ""type"": ""Point""}"
208;1415;Pannonica;Salle Pannonica;Culture;Salle de spectacle;;9 Rue Basse Porte;Nantes;44000;;;Non;;;"{""coordinates"": [-1.5584171812053325, 47.22080264640623], ""type"": ""Point""}"
406;162;Espace Culturel Bréchoir;Espace Culturel Bréchoir;Culture;Salle de spectacle;;1 Rue Jules Bréchoir;Nantes;44000;;;Non;;;"{""coordinates"": [-1.5229962362173235, 47.225298331476495], ""type"": ""Point""}"
441;1829;Médiathèque Bourg;Médiathèque Bourg;Culture;Médiathèque;Médiathèque;126 Boulevard François Mitterrand;Saint-Herblain;44800;02 28 25 25 28;http://www.la-bibliotheque.com;Non;;https://metropole.nantes.fr/infonantes/equipement/E1829;"{""coordinates"": [-1.6489290285589568, 47.21314527006269], ""type"": ""Point""}"
571;3437;C. Culturel Gobinière;Centre Culturel de la Gobinière - Théâtre de la Gobinière, Le Pigeonnier et le H;Culture;Salle de spectacle;;37 Avenue de la Ferrière;Orvault;44700;02 51 78 33 33;http://www.orvault.fr;Non;;https://metropole.nantes.fr/infonantes/equipement/E3437;"{""coordinates"": [-1.585538365915276, 47.24941273363427], ""type"": ""Point""}"
855;1122;Cinéma Bonne Garde;Cinéma Bonne Garde;Culture;Cinéma;;20 Rue Frère Louis;Nantes;44200;02 51 83 66 71;https://www.cinemalebonnegarde.com;Oui;;https://metropole.nantes.fr/infonantes/equipement/E1122;"{""coordinates"": [-1.5384374818927387, 47.19532786450425], ""type"": ""Point""}"
861;146;Planétarium;Planétarium;Culture;Musée, Château;Musée;8 Rue des Acadiens;Nantes;44100;02 40 73 99 23;https://planetarium.nantesmetropole.fr;Oui;Bâtiment plain-pied - Rampe d'accès;https://metropole.nantes.fr/infonantes/equipement/E146;"{""coordinates"": [-1.5775049031680273, 47.20224185074873], ""type"": ""Point""}"
953;131;Château des Ducs de Bretagne;Château des Ducs de Bretagne;Culture;Monument;;4 Place Marc Elder;Nantes;44000;08 11 46 46 44;https://www.chateaunantes.fr/;Non;;https://metropole.nantes.fr/infonantes/equipement/E131;"{""coordinates"": [-1.5487706572018147, 47.216265329405324], ""type"": ""Point""}"
1234;16;Bibliothèque Manufacture;Bibliothèque de la Manufacture;Culture;Médiathèque;Bibliothèque;6 Cour Jules Durand;Nantes;44000;02 40 41 95 65;http://bm.nantes.fr;Non;;https://metropole.nantes.fr/infonantes/equipement/E16;"{""coordinates"": [-1.5362150097176794, 47.2199674658948], ""type"": ""Point""}"
1253;4148;Expression Livre;Bibliothèque Expression Livre;Culture;Médiathèque;Bibliothèque;56 Rue de la Ripossière;Nantes;44200;02 40 75 37 23;http://www.expressionlivre.fr/;Non;;https://metropole.nantes.fr/infonantes/equipement/E4148;"{""coordinates"": [-1.5338088134938879, 47.192430321563215], ""type"": ""Point""}"
1351;4054;Théâtre Francine Vasse;Théâtre Francine Vasse;Culture;Salle de spectacle;;18 Rue Colbert;Nantes;44000;;https://www.leslaboratoiresvivants.com/;Oui;;https://metropole.nantes.fr/infonantes/equipement/E4054;"{""coordinates"": [-1.5689361234428787, 47.215627980819754], ""type"": ""Point""}"
1428;3166;C. Musical La Balinière;Centre Musical de La Balinière;Culture;Salle de spectacle;;24 Rue de la Balinière;Rezé;44400;02 51 70 78 20;;Oui;;https://metropole.nantes.fr/infonantes/equipement/E3166;"{""coordinates"": [-1.5526682220912356, 47.18321000810705], ""type"": ""Point""}"
1681;4882;La Morvandière;Lieu Culturel Espace la Morvandière;Culture;Salle de spectacle;;23 Rue de Mauves;Thouaré-sur-Loire;44470;;;Non;;https://metropole.nantes.fr/infonantes/equipement/E4882;"{""coordinates"": [-1.4378396749123152, 47.26891393682828], ""type"": ""Point""}"
1797;4256;E. de Musique;Ecole de Musique;Culture;Ecole Culturelle;;25 Rue de la Forêt;Sautron;44880;02 40 63 60 61;http://www.ecole-musique-sautron.fr/;Non;;;"{""coordinates"": [-1.6804687234209392, 47.26529773778455], ""type"": ""Point""}"
1830;1151;Château Gaudinière;Château de La Gaudinière;Culture;Monument;;29 Rue Diane;Nantes;44300;;;Non;;https://metropole.nantes.fr/infonantes/equipement/E1151;"{""coordinates"": [-1.578281171544153, 47.24345888630788], ""type"": ""Point""}"
1977;2379;Château de l'Epinay;Château de l'Epinay;Culture;Musée, Château;Château;Boulevard de l'Epinay;Carquefou;44470;02 40 68 49 49;;Non;;;"{""coordinates"": [-1.4903205097351715, 47.287741687784], ""type"": ""Point""}"
2042;2320;FRAC Pays de Loire;Fonds Régional d'Art Contemporain des Pays de la Loire;Culture;Salle d'exposition;;Boulevard Ampère;Carquefou;44470;02 28 01 50 00;http://www.fracdespaysdelaloire.com;Non;;https://metropole.nantes.fr/infonantes/equipement/E2320;"{""coordinates"": [-1.5042024158866991, 47.30039262719416], ""type"": ""Point""}"
2365;2481;Théâtre B. Vian;Théâtre Boris Vian;Culture;Salle de spectacle;;Rue Jean Rostand;Couëron;44220;02 40 38 58 80;http://www.ville-coueron.fr/theatre-boris-vian/;Non;;https://metropole.nantes.fr/infonantes/equipement/E2481;"{""coordinates"": [-1.7308057102728367, 47.216048656907425], ""type"": ""Point""}"
2406;2740;Médiathèque;Médiathèque municipale de Bouaye;Culture;Médiathèque;Médiathèque;Place du Marché;Bouaye;44830;02 40 32 63 03;http://mediatheque.bouaye.fr/;Non;;https://metropole.nantes.fr/infonantes/equipement/E2740;"{""coordinates"": [-1.6882905954576735, 47.141757813592214], ""type"": ""Point""}"
2462;2490;Espace R. Cassin;Espace Culturel René Cassin;Culture;Salle de spectacle;;Rue de la Jouardais;Le Pellerin;44640;02 40 04 56 00;http://www.ville-lepellerin.fr;Non;;https://metropole.nantes.fr/infonantes/equipement/E2490;"{""coordinates"": [-1.7619709193424875, 47.19445469774962], ""type"": ""Point""}"
3044;3786;Bibl. annexe de Beautour;Bibliothèque annexe de Beautour;Culture;Médiathèque;Bibliothèque;Place de la Poste;Vertou;44120;02 40 34 48 24;http://librecour.vertou.fr/exploitation/;Oui;;https://metropole.nantes.fr/infonantes/equipement/E3786;"{""coordinates"": [-1.5051736751571074, 47.184250069981175], ""type"": ""Point""}"
3337;3396;Pôle Musical;Pôle Musical;Culture;Ecole Culturelle;;Chemin de Roche Blanche;La Chapelle-sur-Erdre;44240;09 53 09 07 90;http://www.ameg-44.fr/;Oui;;;"{""coordinates"": [-1.5574854096653301, 47.2793768092291], ""type"": ""Point""}"
3575;4300;Musée de l'Erdre;Musée de l'Erdre;Culture;Musée, Château;Musée;Rue Augustin Fresnel;Carquefou;44470;02 28 22 24 45;http://www.carquefou.fr/musee;Non;;https://metropole.nantes.fr/infonantes/equipement/E4300;"{""coordinates"": [-1.5132720230835353, 47.29993741707532], ""type"": ""Point""}"
1006;1443;Sud Loire;Espace Culturel Sud Loire;Culture;Salle de spectacle;;47 Rue Ledru Rollin;Nantes;44200;02 40 75 37 23;;Non;;;"{""coordinates"": [-1.5348910074285693, 47.19270109558139], ""type"": ""Point""}"
1215;3235;Cinéma St Paul;Cinéma Saint Paul;Culture;Cinéma;;38 Rue Julien Douillard;Rezé;44400;02 40 75 41 91;http://cinemasaintpaul.asso.fr/;Non;;https://metropole.nantes.fr/infonantes/equipement/E3235;"{""coordinates"": [-1.5445464951668055, 47.1839198450475], ""type"": ""Point""}"
1313;4008;Centre Bermond-Boquié;Centre Bermond-Boquié;Culture;Médiathèque;Bibliothèque;24 Quai de la Fosse;Nantes;44000;02 40 41 42 62;http://bm.nantes.fr;Non;;https://metropole.nantes.fr/infonantes/equipement/E4008;"{""coordinates"": [-1.5623627832732847, 47.21108345210975], ""type"": ""Point""}"
1360;1123;Cinéma Gaumont;Cinéma Gaumont;Culture;Cinéma;;12 Place du Commerce;Nantes;44000;08 92 69 66 96;http://www.cinemasgaumontpathe.com;Oui;;https://metropole.nantes.fr/infonantes/equipement/E1123;"{""coordinates"": [-1.5582622813258655, 47.21340498810519], ""type"": ""Point""}"
1389;5489;Ludothèque;Ludothèque de Carquefou;Culture;Médiathèque;Ludothèque;3 Chemin du Courtil;Carquefou;44470;02 28 22 24 70;https://www.carquefou.fr/ludotheque/;Non;;https://metropole.nantes.fr/infonantes/equipement/E5489;"{""coordinates"": [-1.489855233761584, 47.29587783676113], ""type"": ""Point""}"
1481;4167;Ecole de musique;Ecole de musique;Culture;Ecole Culturelle;;9 Rue de la Gare;Indre;44610;02 28 25 80 19;http://www.indre44.fr/fr/information/84096/l-ecole-musique-municipale;Non;;;"{""coordinates"": [-1.669099428572738, 47.200809279890784], ""type"": ""Point""}"
1696;2395;Château de La Plinguetière;Château de La Plinguetière;Culture;Musée, Château;Château;51 Route du Champ de Foire;Saint-Aignan de Grand Lieu;44860;02 40 02 16 42;http://www.plinguetiere.fr/;Non;;https://metropole.nantes.fr/infonantes/equipement/E2395;"{""coordinates"": [-1.6134822131190745, 47.131655756128964], ""type"": ""Point""}"
1711;4513;Le Chapidock;Le Chapidock - école des arts du cirque;Culture;Ecole Culturelle;;60 Quai Président Wilson;Nantes;44200;02 28 44 25 84;http://www.lezards-animes.com/;Non;;;"{""coordinates"": [-1.571325027159701, 47.20010653517736], ""type"": ""Point""}"
1841;2743;Bibliothèque;Bibliothèque Brains;Culture;Médiathèque;Bibliothèque;1 Rue des Clos Mâts;Brains;44830;02 40 65 54 40;https://bibliotheque.mairie-brains.fr/;Non;;https://metropole.nantes.fr/infonantes/equipement/E2743;"{""coordinates"": [-1.7205762841687617, 47.16824945265912], ""type"": ""Point""}"
1917;2380;Espace de la Tour à Plomb;Espace de la Tour à Plomb;Culture;Monument;;93 Quai Jean-Pierre Fougerat;Couëron;44220;02 40 38 51 87;;Non;;https://metropole.nantes.fr/infonantes/equipement/E2380;"{""coordinates"": [-1.7203226251634438, 47.209221106039216], ""type"": ""Point""}"
90;157;Cité internationale des Congrès;Cité internationale des Congrès;Culture;Salle de spectacle;;5 Rue de Valmy;Nantes;44000;02 51 88 20 00;https://lacite-nantes.fr/;Non;;https://metropole.nantes.fr/infonantes/equipement/E157;"{""coordinates"": [-1.5436124088951022, 47.21276693615878], ""type"": ""Point""}"
168;3580;Le Cabanier;Le Cabanier Théâtre;Culture;Salle de spectacle;;6 Rue Ameline;Nantes;44000;02 51 81 92 08;http://lecabanier.free.fr;Non;;;"{""coordinates"": [-1.5583145382219392, 47.228853967801825], ""type"": ""Point""}"
205;4863;Bibliothèque;Bibliothèque de La Halvêque;Culture;Médiathèque;Bibliothèque;23 Rue Léon Serpollet;Nantes;44300;02 40 41 53 47;http://bm.nantes.fr;Non;;https://metropole.nantes.fr/infonantes/equipement/E4863;"{""coordinates"": [-1.5190633586992164, 47.25437881003235], ""type"": ""Point""}"
