Identifiant;Identifiant;Nom;Nom complet;Thème;Catégorie;Type;Adresse;Commune;Code postal;Téléphone;Site Web;Accès PMR;Informations accès mobilité réduite;URL;Géométrie
2525;2593;Manoir La Bégraissière;Manoir de La Bégraisière;Culture;Musée, Château;Château;Rue François Rabelais;Saint-Herblain;44800;;https://www.saint-herblain.fr/La-Ville/Decouvrir-la-ville/Histoire-de-Saint-Herblain2/Le-patrimoine-naturel/Le-domaine-de-la-Begraisiere;Non;;https://metropole.nantes.fr/infonantes/equipement/E2593;"{""coordinates"": [-1.6147230947639917, 47.231824908211834], ""type"": ""Point""}"
2596;2637;Tour Anc. Usine LU;Tour de l'Ancienne Usine Lu;Culture;Monument;;Quai Malakoff;Nantes;44000;;https://www.lelieuunique.com/le-lieu-unique/la-tour-lu/;Non;;https://metropole.nantes.fr/infonantes/equipement/E2637;"{""coordinates"": [-1.5461955313631899, 47.21544700892362], ""type"": ""Point""}"
2641;2390;Lavoir;Lavoir Orvault;Culture;Monument;;Chemin du Lavoir;Orvault;44700;02 51 78 31 01;https://www.orvault.fr/annuaires/annuaire-touristique/lavoir-du-bourg;Non;;;"{""coordinates"": [-1.622086516840051, 47.2721604511696], ""type"": ""Point""}"
2732;1544;M. de la Marionnette;Maison de la Marionnette Nantes;Culture;Salle de spectacle;;Boulevard Général de Gaulle;Nantes;44200;02 40 48 70 19;http://www.maison-marionnette-nantes.com;Non;;;"{""coordinates"": [-1.5366995944812059, 47.20455463383169], ""type"": ""Point""}"
2954;4964;Auditorium;Auditorium;Culture;Salle de spectacle;;Avenue de Bretagne;Rezé;44400;02 51 70 78 00;http://www.lasoufflerie.org;Oui;Places réservées pour fauteuils roulants dans la salle - Places de parking PMR.;https://metropole.nantes.fr/infonantes/equipement/E4964;"{""coordinates"": [-1.5548792386635388, 47.185594673552266], ""type"": ""Point""}"
3004;2092;Piano'cktail;Piano'cktail;Culture;Salle de spectacle;;Rue Ginsheim Gustavsburg;Bouguenais;44340;02 40 65 05 25;http://www.pianocktail-bouguenais.fr/;Oui;;https://metropole.nantes.fr/infonantes/equipement/E2092;"{""coordinates"": [-1.6067185515338556, 47.17390797964808], ""type"": ""Point""}"
3141;4235;Château du Pé;Le château du Pé;Culture;Monument;;Rue de l'Egalité;Saint-Jean-de-Boiseau;44640;;http://www.saint-jean-de-boiseau.fr;Non;Sur les 6 chambres, seule celle du rez-de-chaussée est accessible aux PMR.;https://metropole.nantes.fr/infonantes/equipement/E4235;"{""coordinates"": [-1.7214121947545546, 47.198839401094645], ""type"": ""Point""}"
3334;1448;Bibliothèque Clos Toreau;Bibliothèque Espace Vittoria Clos Toreau;Culture;Médiathèque;Bibliothèque;Place du Pays Basque;Nantes;44200;;;Non;;;"{""coordinates"": [-1.5282554536450745, 47.194542727974074], ""type"": ""Point""}"
3369;4844;Espace d'expo;Espace d'exposition les Renaudières;Culture;Salle d'exposition;;Allée des Renaudières;Carquefou;44470;02 28 22 24 40;;Non;;https://metropole.nantes.fr/infonantes/equipement/E4844;"{""coordinates"": [-1.5132338655797364, 47.30015205066973], ""type"": ""Point""}"
3407;3030;Ludothèque R. Goscinny;Ludothèque René Goscinny;Culture;Médiathèque;Ludothèque;Esplanade Pierre Brasselet;Sainte-Luce-sur-Loire;44980;02 40 68 16 54;http://mediatheque.sainte-luce-loire.com;Oui;;https://metropole.nantes.fr/infonantes/equipement/E3030;"{""coordinates"": [-1.4820646093476635, 47.248164111852965], ""type"": ""Point""}"
